,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
48,Joaiko Gvardiol,7,7,690,1,0,2,1,1,0,0,0,464.0,519.0,89.4,9.0,6,8.0,11,37.0,602.0,1.0,2.0,50.0,8,6,0,1,0.0,0.0,0,3.0,5.0,DF,20,Germany,RB Leipzig,Croatia
49,Dominik Livakovic,7,7,690,0,0,0,0,0,0,1,0,194.0,228.0,85.1,0.0,0,0.0,0,0.0,245.0,0.0,0.0,0.0,1,0,0,0,0.0,1.0,0,1.0,0.0,GK,27,Croatia,Dinamo Zagreb,Croatia
50,Ivan Perisic,7,7,669,1,3,16,4,1,0,0,0,202.0,292.0,69.2,7.0,4,9.0,7,12.0,378.0,6.0,13.0,46.2,10,0,3,27,0.0,0.0,0,17.0,14.0,FWDF,33,England,Tottenham,Croatia
51,Luka Modric,7,7,653,0,0,6,4,0,0,1,0,465.0,551.0,84.4,16.0,10,4.0,10,3.0,613.0,6.0,16.0,37.5,13,15,1,33,0.0,0.0,0,3.0,4.0,MF,36,Spain,Real Madrid,Croatia
52,Mateo Kovacic,7,7,635,0,0,3,1,0,0,2,0,415.0,460.0,90.2,24.0,17,4.0,4,5.0,524.0,11.0,20.0,55.0,3,11,0,3,0.0,0.0,0,4.0,2.0,MF,28,England,Chelsea,Croatia
53,Andrej Kramaric,7,7,474,2,0,10,4,2,0,0,0,153.0,176.0,86.9,3.0,2,6.0,0,0.0,215.0,4.0,8.0,50.0,1,4,2,6,0.0,0.0,0,0.0,4.0,FWMF,30,Germany,Hoffenheim,Croatia
54,Josip Juranovic,6,6,600,0,1,1,0,0,0,0,0,318.0,405.0,78.5,12.0,8,5.0,3,15.0,461.0,1.0,4.0,25.0,1,6,0,24,0.0,0.0,0,2.0,4.0,DF,26,Scotland,Celtic,Croatia
55,Dejan Lovren,6,6,600,0,1,4,0,0,0,1,0,405.0,460.0,88.0,7.0,2,7.0,6,29.0,516.0,0.0,0.0,0.0,2,5,1,3,0.0,0.0,0,17.0,6.0,DF,32,Russia,Zenit,Croatia
56,Marcelo Brozovic,6,6,552,0,0,4,2,0,0,1,0,466.0,530.0,87.9,13.0,7,13.0,4,7.0,594.0,3.0,8.0,37.5,12,11,0,4,0.0,0.0,0,6.0,4.0,MF,29,Italy,Inter,Croatia
57,Borna Sosa,5,5,424,0,0,2,0,0,0,0,0,220.0,278.0,79.1,14.0,6,4.0,2,18.0,336.0,2.0,4.0,50.0,4,2,0,21,0.0,0.0,0,4.0,4.0,DF,24,Germany,Stuttgart,Croatia
58,Marko Livaja,6,3,241,1,1,6,4,1,0,0,0,35.0,58.0,60.3,2.0,2,1.0,1,1.0,83.0,0.0,2.0,0.0,6,3,1,1,0.0,0.0,0,4.0,5.0,FW,28,Croatia,Hajduk Split,Croatia
59,Mario Paajalia,7,2,271,0,0,3,0,0,0,0,0,76.0,95.0,80.0,7.0,5,6.0,3,3.0,132.0,0.0,4.0,0.0,4,1,2,1,0.0,0.0,0,7.0,7.0,FWMF,27,Italy,Atalanta,Croatia
