,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
229,Kye Rowles,0,0,,,165.0,187.0,88.2,8.0,4.0,2,9.0,7,15.0,16.0,1.0,232.0,0.0,0.0,,1,2,0,0,7,2,0.0,0.0,0,4.0,2.0,DF,23.0,1.sct Hearts,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
230,Mathew Ryan,0,0,,,113.0,164.0,68.9,0.0,0.0,0,0.0,0,0.0,6.0,1.0,176.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,30.0,1.dk FC Copenhagen,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
231,Harry Souttar,1,0,0.0,,138.0,167.0,82.6,4.0,2.0,0,7.0,6,10.0,22.0,0.0,212.0,0.0,0.0,,1,1,0,0,6,0,0.0,0.0,0,14.0,7.0,DF,23.0,2.eng Stoke City,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
232,Jackson Irvine,3,0,0.0,,103.0,128.0,80.5,4.0,2.0,2,7.0,3,7.0,8.0,0.0,171.0,0.0,2.0,0.0,7,2,0,2,3,2,0.0,0.0,0,9.0,7.0,"MF,FW",29.0,2.de St. Pauli,4,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Australia
233,Mathew Leckie,1,1,1.0,1.0,67.0,103.0,65.0,4.0,2.0,4,5.0,1,5.0,6.0,0.0,156.0,1.0,11.0,9.1,8,6,0,4,1,4,0.0,0.0,0,14.0,10.0,"MF,FW",31.0,1.au Melb City,4,4,333.0,3.7,1.0,0.27,1.0,0.27,1.0,0.27,0.0,0.0,0.0,Australia
234,Mitchell Duke,7,4,0.14,0.25,36.0,63.0,57.1,0.0,0.0,0,5.0,2,2.0,1.0,0.0,97.0,1.0,2.0,50.0,6,3,1,1,2,0,0.0,0.0,0,11.0,12.0,FW,31.0,2.jp Fagi Okayama,4,4,270.0,3.0,1.0,0.33,0.0,0.0,1.0,0.33,0.0,1.0,0.0,Australia
235,Riley McGree,3,1,0.0,0.0,57.0,75.0,76.0,2.0,0.0,1,5.0,5,7.0,3.0,0.0,107.0,0.0,1.0,0.0,9,2,0,5,5,1,0.0,0.0,0,1.0,2.0,"FW,MF",23.0,2.eng Middlesbrough,4,4,265.0,2.9,0.0,0.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,Australia
236,Craig Goodwin,2,1,0.5,1.0,58.0,95.0,61.1,4.0,2.0,3,3.0,0,4.0,3.0,0.0,117.0,0.0,0.0,,1,2,0,18,0,3,0.0,0.0,0,1.0,5.0,MF,30.0,1.au Adelaide,4,3,234.0,2.6,1.0,0.38,1.0,0.38,1.0,0.38,0.0,0.0,0.0,Australia
237,Miloš Degenek,0,0,,,67.0,101.0,66.3,6.0,5.0,4,2.0,1,7.0,9.0,0.0,127.0,0.0,2.0,0.0,2,8,0,1,1,4,0.0,0.0,0,6.0,1.0,DF,28.0,1.us Columbus Crew,4,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Australia
238,Keanu Baccus,1,0,0.0,,26.0,41.0,63.4,1.0,0.0,1,5.0,2,3.0,1.0,0.0,57.0,0.0,1.0,0.0,4,1,0,0,2,1,0.0,0.0,0,1.0,3.0,MF,24.0,1.sct St Mirren,4,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
239,Fran Karačić,3,0,0.0,,33.0,54.0,61.1,2.0,1.0,1,2.0,2,4.0,3.0,0.0,70.0,0.0,0.0,,3,0,0,5,2,1,0.0,0.0,0,4.0,4.0,DF,26.0,2.it Brescia,2,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
240,Nathaniel Atkinson,0,0,,,27.0,34.0,79.4,4.0,4.0,3,1.0,1,5.0,2.0,1.0,44.0,0.0,2.0,0.0,0,0,0,0,1,3,0.0,0.0,0,0.0,0.0,DF,23.0,1.sct Hearts,1,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
241,Ajdin Hrustic,1,0,0.0,,17.0,21.0,81.0,2.0,1.0,0,0.0,1,3.0,1.0,0.0,32.0,1.0,4.0,25.0,1,2,0,1,1,0,0.0,0.0,0,0.0,2.0,"MF,FW",25.0,1.it Hellas Verona,3,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
242,Jamie Maclaren,0,0,,,7.0,15.0,46.7,0.0,0.0,0,0.0,1,1.0,0.0,0.0,15.0,0.0,0.0,,1,0,0,2,1,0,0.0,0.0,0,1.0,4.0,FW,28.0,1.au Melb City,3,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
243,Garang Kuol,1,1,0.0,0.0,3.0,5.0,60.0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,10.0,0.0,2.0,0.0,1,0,0,0,1,0,0.0,0.0,0,1.0,2.0,"FW,MF",17.0,1.au Central Coast,2,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
244,Jason Cummings,0,0,,,4.0,6.0,66.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,FW,26.0,1.au Central Coast,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
245,Awer Mabil,0,0,,,10.0,14.0,71.4,0.0,0.0,0,1.0,1,1.0,0.0,0.0,19.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,2.0,MF,26.0,1.es Cádiz,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
246,Bailey Wright,0,0,,,1.0,3.0,33.3,0.0,0.0,0,0.0,0,0.0,2.0,0.0,5.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,1.0,3.0,DF,29.0,2.eng Sunderland,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
247,Manuel Akanji,4,1,0.25,1.0,229.0,259.0,88.4,4.0,3.0,2,4.0,3,7.0,12.0,0.0,290.0,0.0,0.0,,4,1,0,1,3,2,0.0,0.0,0,9.0,2.0,DF,26.0,1.eng Manchester City,4,4,360.0,4.0,1.0,0.25,0.0,0.0,1.0,0.25,0.0,1.0,0.0,Switzerland
248,Granit Xhaka,6,3,0.0,0.0,215.0,243.0,88.5,6.0,4.0,4,3.0,2,8.0,7.0,0.0,274.0,1.0,2.0,50.0,5,4,0,0,2,4,0.0,0.0,0,7.0,5.0,MF,29.0,1.eng Arsenal,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Switzerland
249,Ricardo Rodríguez,0,0,,,164.0,229.0,71.6,7.0,2.0,2,1.0,0,7.0,8.0,0.0,253.0,0.0,0.0,,6,2,0,12,0,2,0.0,0.0,0,10.0,2.0,DF,29.0,1.it Torino,4,4,359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
250,Breel Embolo,6,3,0.33,0.67,46.0,62.0,74.2,1.0,1.0,0,2.0,0,1.0,1.0,0.0,91.0,2.0,6.0,33.3,3,12,2,0,0,0,0.0,0.0,0,2.0,8.0,FW,25.0,1.fr Monaco,4,4,323.0,3.6,2.0,0.56,0.0,0.0,2.0,0.56,0.0,0.0,0.0,Switzerland
251,Remo Freuler,3,1,0.33,1.0,127.0,154.0,82.5,8.0,4.0,5,3.0,3,11.0,3.0,1.0,197.0,0.0,4.0,0.0,6,2,0,0,3,5,0.0,0.0,0,1.0,4.0,MF,30.0,1.eng Nott'ham Forest,4,4,323.0,3.6,1.0,0.28,0.0,0.0,1.0,0.28,0.0,0.0,0.0,Switzerland
252,Ruben Vargas,3,1,0.0,0.0,80.0,117.0,68.4,0.0,0.0,0,2.0,1,1.0,4.0,0.0,144.0,1.0,7.0,14.3,4,2,1,15,1,0,0.0,0.0,0,3.0,6.0,FW,23.0,1.de Augsburg,4,4,285.0,3.2,0.0,0.0,1.0,0.32,0.0,0.0,0.0,1.0,0.0,Switzerland
253,Djibril Sow,2,0,0.0,,84.0,97.0,86.6,2.0,0.0,1,0.0,2,4.0,0.0,0.0,115.0,0.0,2.0,0.0,2,7,0,1,2,1,0.0,0.0,0,1.0,2.0,MF,25.0,1.de Eint Frankfurt,4,4,264.0,2.9,0.0,0.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,Switzerland
254,Yann Sommer,0,0,,,108.0,118.0,91.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,126.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,33.0,1.de M'Gladbach,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
255,Silvan Widmer,1,0,0.0,,127.0,169.0,75.1,10.0,6.0,6,3.0,2,12.0,15.0,0.0,211.0,1.0,2.0,50.0,4,2,0,2,2,6,0.0,0.0,0,3.0,1.0,DF,29.0,1.de Mainz 05,3,3,265.0,2.9,0.0,0.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,Switzerland
256,Xherdan Shaqiri,4,2,0.25,0.5,67.0,104.0,64.4,0.0,0.0,0,0.0,0,0.0,0.0,0.0,113.0,0.0,3.0,0.0,2,6,0,15,0,0,0.0,0.0,0,1.0,4.0,"FW,MF",30.0,1.us Chicago Fire,3,3,229.0,2.5,1.0,0.39,1.0,0.39,1.0,0.39,0.0,0.0,0.0,Switzerland
257,Nico Elvedi,1,0,0.0,,131.0,142.0,92.3,2.0,1.0,0,5.0,1,3.0,13.0,0.0,165.0,0.0,0.0,,3,1,0,0,1,0,0.0,0.0,0,2.0,3.0,DF,25.0,1.de M'Gladbach,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Switzerland
258,Fabian Schär,2,0,0.0,,65.0,82.0,79.3,2.0,1.0,1,1.0,2,4.0,7.0,0.0,100.0,0.0,0.0,,1,2,0,0,2,1,0.0,0.0,0,4.0,4.0,DF,30.0,1.eng Newcastle Utd,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Switzerland
259,Edimilson Fernandes,1,0,0.0,,65.0,82.0,79.3,2.0,0.0,1,3.0,2,4.0,3.0,0.0,96.0,0.0,1.0,0.0,1,1,1,5,2,1,0.0,0.0,0,0.0,1.0,"FW,DF",26.0,1.de Mainz 05,3,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
260,Gregor Kobel,0,0,,,21.0,29.0,72.4,0.0,0.0,0,0.0,0,0.0,0.0,0.0,30.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,24.0,1.de Dortmund,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
261,Fabian Rieder,0,0,,,13.0,26.0,50.0,3.0,1.0,2,2.0,0,3.0,1.0,0.0,34.0,1.0,1.0,100.0,4,2,0,1,0,2,0.0,0.0,0,0.0,1.0,FW,20.0,1.ch Young Boys,2,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Switzerland
262,Haris Seferović,1,0,0.0,,11.0,15.0,73.3,0.0,0.0,0,2.0,0,0.0,0.0,0.0,20.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,1.0,FW,30.0,1.tr Galatasaray,3,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
263,Denis Zakaria,1,0,0.0,,19.0,22.0,86.4,0.0,0.0,0,1.0,3,3.0,1.0,0.0,32.0,0.0,2.0,0.0,1,2,0,0,3,0,0.0,0.0,0,1.0,2.0,MF,25.0,1.eng Chelsea,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
264,Eray Cömert,0,0,,,38.0,42.0,90.5,0.0,0.0,0,1.0,2,2.0,2.0,0.0,50.0,0.0,1.0,0.0,3,1,0,0,2,0,0.0,0.0,0,0.0,0.0,DF,24.0,1.es Valencia,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Switzerland
265,Noah Okafor,1,0,0.0,,17.0,22.0,77.3,0.0,0.0,0,1.0,0,0.0,0.0,0.0,29.0,0.0,3.0,0.0,2,1,1,0,0,0,0.0,0.0,0,0.0,0.0,"FW,MF",22.0,1.at RB Salzburg,3,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
266,Renato Steffen,0,0,,,13.0,15.0,86.7,0.0,0.0,0,1.0,0,0.0,0.0,0.0,20.0,0.0,0.0,,0,1,1,0,0,0,0.0,0.0,0,0.0,1.0,FW,30.0,1.ch Lugano,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
267,Fabian Frei,0,0,,,9.0,14.0,64.3,1.0,0.0,1,0.0,1,2.0,0.0,0.0,16.0,0.0,0.0,,1,0,0,0,1,1,0.0,0.0,0,0.0,1.0,MF,33.0,1.ch Basel,2,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
268,Michel Aebischer,0,0,,,2.0,4.0,50.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,"MF,FW",25.0,1.it Bologna,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
269,Christian Fassnacht,1,1,0.0,0.0,7.0,10.0,70.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,12.0,2.0,2.0,100.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,28.0,1.ch Young Boys,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
270,Ardon Jasari,0,0,,,5.0,6.0,83.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,19.0,1.ch Luzern,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland
271,Rodri,1,0,0.0,,642.0,689.0,93.2,5.0,2.0,2,3.0,3,8.0,9.0,0.0,711.0,0.0,0.0,,5,1,0,2,3,2,0.0,0.0,0,16.0,5.0,DF,25.0,1.eng Manchester City,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
272,Unai Simón,0,0,,,150.0,160.0,93.8,0.0,0.0,0,0.0,0,0.0,2.0,3.0,167.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,25.0,1.es Athletic Club,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
273,Dani Olmo,12,6,0.08,0.17,162.0,198.0,81.8,5.0,1.0,3,5.0,1,6.0,4.0,0.0,259.0,4.0,19.0,21.1,5,6,2,10,1,3,0.0,0.0,0,0.0,4.0,FW,24.0,1.de RB Leipzig,4,4,367.0,4.1,1.0,0.25,1.0,0.25,1.0,0.25,0.0,0.0,0.0,Spain
274,Sergio Busquets,2,0,0.0,,261.0,289.0,90.3,7.0,3.0,4,2.0,1,8.0,1.0,0.0,310.0,1.0,1.0,100.0,3,3,0,0,1,4,0.0,0.0,0,8.0,5.0,MF,33.0,1.es Barcelona,4,4,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Spain
275,Pedri,0,0,,,393.0,434.0,90.6,4.0,1.0,2,5.0,4,8.0,3.0,0.0,468.0,6.0,11.0,54.5,2,3,0,2,4,2,0.0,0.0,0,2.0,0.0,MF,19.0,1.es Barcelona,4,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
276,Gavi,1,1,1.0,1.0,133.0,154.0,86.4,8.0,2.0,4,3.0,1,9.0,2.0,0.0,185.0,3.0,7.0,42.9,9,14,0,4,1,4,0.0,0.0,0,2.0,5.0,MF,17.0,1.es Barcelona,4,4,284.0,3.2,1.0,0.32,0.0,0.0,1.0,0.32,0.0,0.0,0.0,Spain
277,Aymeric Laporte,1,0,0.0,,413.0,438.0,94.3,2.0,1.0,0,0.0,3,5.0,7.0,0.0,455.0,0.0,0.0,,3,2,0,0,3,0,0.0,0.0,0,5.0,3.0,DF,28.0,1.eng Manchester City,3,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Spain
278,Jordi Alba,2,0,0.0,,328.0,372.0,88.2,6.0,2.0,4,2.0,3,9.0,2.0,0.0,395.0,2.0,3.0,66.7,4,3,1,14,3,4,1.0,0.0,0,0.0,2.0,DF,33.0,1.es Barcelona,4,3,264.0,2.9,0.0,0.0,2.0,0.68,0.0,0.0,0.0,0.0,0.0,Spain
279,Marco Asensio,10,2,0.1,0.5,89.0,119.0,74.8,1.0,0.0,1,1.0,0,1.0,0.0,0.0,148.0,0.0,3.0,0.0,3,3,0,8,0,1,0.0,0.0,0,0.0,2.0,FW,26.0,1.es Real Madrid,4,3,229.0,2.5,1.0,0.39,0.0,0.0,1.0,0.39,0.0,0.0,0.0,Spain
280,Ferrán Torres,3,1,0.33,1.0,59.0,85.0,69.4,0.0,0.0,0,1.0,0,0.0,0.0,0.0,117.0,1.0,11.0,9.1,1,5,2,9,0,0,0.0,0.0,0,0.0,3.0,FW,22.0,1.es Barcelona,4,3,217.0,2.4,2.0,0.83,0.0,0.0,1.0,0.41,1.0,0.0,0.0,Spain
281,César Azpilicueta,0,0,,,171.0,181.0,94.5,1.0,0.0,0,2.0,1,2.0,0.0,0.0,186.0,0.0,0.0,,2,0,0,3,1,0,0.0,0.0,0,2.0,2.0,DF,32.0,1.eng Chelsea,2,2,135.0,1.5,0.0,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,Spain
282,Álvaro Morata,8,5,0.38,0.6,28.0,41.0,68.3,1.0,1.0,1,2.0,0,1.0,2.0,0.0,60.0,1.0,3.0,33.3,1,2,5,0,0,1,0.0,0.0,0,1.0,0.0,FW,29.0,1.es Atlético Madrid,4,1,185.0,2.1,3.0,1.46,1.0,0.49,3.0,1.46,0.0,0.0,0.0,Spain
283,Nico Williams,1,0,0.0,,50.0,63.0,79.4,4.0,1.0,2,2.0,0,4.0,0.0,0.0,90.0,5.0,16.0,31.3,0,1,1,6,0,2,0.0,0.0,0,1.0,2.0,FW,19.0,1.es Athletic Club,4,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
284,Dani Carvajal,0,0,,,121.0,135.0,89.6,1.0,0.0,1,0.0,2,3.0,1.0,0.0,139.0,0.0,0.0,,0,1,0,0,2,1,0.0,0.0,0,0.0,1.0,DF,30.0,1.es Real Madrid,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
285,Alejandro Balde,1,0,0.0,,112.0,123.0,91.1,6.0,2.0,6,2.0,0,6.0,2.0,0.0,135.0,0.0,2.0,0.0,2,1,0,2,0,6,0.0,0.0,0,0.0,2.0,DF,18.0,1.es Barcelona,4,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
286,Marcos Llorente,1,0,0.0,,95.0,106.0,89.6,0.0,0.0,0,0.0,0,0.0,0.0,0.0,107.0,0.0,0.0,,0,0,0,2,0,0,0.0,0.0,0,0.0,1.0,DF,27.0,1.es Atlético Madrid,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
287,Pau Torres,0,0,,,174.0,191.0,91.1,0.0,0.0,0,1.0,0,0.0,2.0,0.0,194.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,1.0,1.0,DF,25.0,1.es Villarreal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
288,Carlos Soler,4,1,0.25,1.0,78.0,83.0,94.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,88.0,1.0,2.0,50.0,0,1,0,3,0,0,0.0,0.0,0,0.0,1.0,MF,25.0,1.fr Paris S-G,2,0,92.0,1.0,1.0,0.98,0.0,0.0,1.0,0.98,0.0,0.0,0.0,Spain
289,Koke,0,0,,,56.0,62.0,90.3,1.0,0.0,1,0.0,0,1.0,0.0,0.0,68.0,0.0,0.0,,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,MF,30.0,1.es Atlético Madrid,2,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
290,Ansu Fati,0,0,,,25.0,29.0,86.2,1.0,0.0,1,0.0,0,1.0,0.0,0.0,34.0,0.0,2.0,0.0,0,0,0,1,0,1,0.0,0.0,0,1.0,0.0,FW,19.0,1.es Barcelona,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
291,Pablo Sarabia,1,0,0.0,,2.0,5.0,40.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0,,0,0,0,3,0,0,0.0,0.0,0,0.0,0.0,FW,30.0,1.fr Paris S-G,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain
292,Tyler Adams,1,0,0.0,,241.0,271.0,88.9,11.0,3.0,9,6.0,4,15.0,6.0,0.0,308.0,1.0,1.0,100.0,5,5,0,2,4,9,0.0,0.0,0,5.0,2.0,MF,23.0,1.eng Leeds United,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,United States
293,Tim Ream,1,0,0.0,,245.0,276.0,88.8,4.0,3.0,3,2.0,4,8.0,12.0,0.0,306.0,2.0,2.0,100.0,1,2,0,0,4,3,0.0,0.0,0,6.0,8.0,DF,34.0,1.eng Fulham,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,United States
294,Matt Turner,0,0,,,101.0,128.0,78.9,0.0,0.0,0,0.0,0,0.0,1.0,0.0,136.0,0.0,0.0,,0,4,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,27.0,1.eng Arsenal,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
295,Antonee Robinson,0,0,,,173.0,241.0,71.8,5.0,3.0,4,3.0,7,12.0,8.0,0.0,290.0,4.0,5.0,80.0,2,0,1,21,7,4,0.0,0.0,0,5.0,3.0,DF,24.0,1.eng Fulham,4,4,359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
296,Yunus Musah,4,1,0.0,0.0,151.0,182.0,83.0,8.0,1.0,6,7.0,2,10.0,1.0,0.0,222.0,4.0,11.0,36.4,9,3,0,8,2,6,0.0,0.0,0,3.0,3.0,MF,19.0,1.es Valencia,4,4,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
297,Timothy Weah,5,3,0.2,0.33,90.0,108.0,83.3,0.0,0.0,0,5.0,0,0.0,0.0,0.0,133.0,2.0,2.0,100.0,1,1,2,8,0,0,0.0,0.0,0,2.0,3.0,FW,22.0,1.fr Lille,4,4,316.0,3.5,1.0,0.28,0.0,0.0,1.0,0.28,0.0,0.0,0.0,United States
298,Christian Pulisic,9,5,0.11,0.2,83.0,141.0,58.9,2.0,0.0,0,2.0,0,2.0,1.0,0.0,191.0,4.0,15.0,26.7,2,11,1,31,0,0,0.0,0.0,0,2.0,4.0,"FW,MF",23.0,1.eng Chelsea,4,4,315.0,3.5,1.0,0.29,2.0,0.57,1.0,0.29,0.0,0.0,0.0,United States
299,Sergiño Dest,6,0,0.0,,172.0,200.0,86.0,4.0,2.0,2,3.0,2,6.0,7.0,0.0,253.0,5.0,13.0,38.5,4,2,0,9,2,2,0.0,0.0,0,1.0,3.0,DF,21.0,1.it Milan,4,4,305.0,3.4,0.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,United States
300,Weston McKennie,5,1,0.0,0.0,117.0,153.0,76.5,2.0,1.0,1,4.0,0,2.0,5.0,0.0,179.0,1.0,2.0,50.0,6,2,0,1,0,1,0.0,0.0,0,3.0,3.0,MF,23.0,1.it Juventus,4,4,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,United States
301,Walker Zimmerman,1,0,0.0,,217.0,244.0,88.9,3.0,3.0,2,4.0,4,7.0,15.0,0.0,275.0,0.0,0.0,,3,0,0,0,4,2,0.0,1.0,0,8.0,5.0,DF,29.0,1.us Nashville,4,3,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
302,Josh Sargent,4,1,0.0,0.0,29.0,33.0,87.9,0.0,0.0,0,1.0,1,1.0,0.0,0.0,48.0,2.0,2.0,100.0,2,0,0,1,1,0,0.0,0.0,0,3.0,6.0,FW,22.0,2.eng Norwich City,3,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
303,Haji Wright,6,2,0.17,0.5,20.0,27.0,74.1,2.0,2.0,0,0.0,0,2.0,1.0,0.0,45.0,0.0,1.0,0.0,1,3,1,1,0,0,0.0,0.0,0,6.0,7.0,FW,24.0,1.tr Antalyaspor,4,1,137.0,1.5,1.0,0.66,0.0,0.0,1.0,0.66,0.0,0.0,0.0,United States
304,Cameron Carter-Vickers,0,0,,,50.0,58.0,86.2,0.0,0.0,0,1.0,0,0.0,4.0,0.0,64.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,4.0,4.0,DF,24.0,1.sct Celtic,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
305,Jesús Ferreira,0,0,,,16.0,19.0,84.2,1.0,1.0,0,0.0,0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,21.0,1.us FC Dallas,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
306,Brenden Aaronson,1,0,0.0,,41.0,50.0,82.0,3.0,0.0,2,5.0,1,4.0,0.0,0.0,80.0,2.0,11.0,18.2,3,3,0,3,1,2,0.0,0.0,0,0.0,1.0,MF,21.0,1.eng Leeds United,4,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
307,Gio Reyna,2,0,0.0,,26.0,38.0,68.4,0.0,0.0,0,1.0,0,0.0,0.0,0.0,42.0,0.0,0.0,,0,2,0,2,0,0,0.0,0.0,0,2.0,0.0,FW,19.0,1.de Dortmund,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
