,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
62,Mislav Oršić,9,2,0.11,0.5,40.0,54.0,74.1,3.0,2.0,3,2.0,0,3.0,1.0,0.0,81.0,1.0,3.0,33.3,3,0,1,4,0,3,0.0,0.0,0,0.0,0.0,FW,29.0,1.hr Dinamo Zagreb,6,1,162.0,1.8,1.0,0.56,2.0,1.11,1.0,0.56,0.0,0.0,0.0,Croatia
63,Lovro Majer,4,2,0.25,0.5,78.0,98.0,79.6,3.0,2.0,1,1.0,0,3.0,2.0,0.0,122.0,0.0,2.0,0.0,5,3,0,8,0,1,0.0,0.0,0,0.0,0.0,"MF,FW",24.0,1.fr Rennes,7,1,130.0,1.4,1.0,0.69,0.0,0.0,1.0,0.69,0.0,0.0,0.0,Croatia
64,Borna Barišić,1,0,0.0,,50.0,69.0,72.5,1.0,1.0,1,1.0,0,1.0,4.0,0.0,82.0,0.0,0.0,,5,2,0,11,0,1,0.0,0.0,0,6.0,2.0,DF,29.0,1.sct Rangers,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
65,Josip Stanišić,1,0,0.0,,36.0,49.0,73.5,3.0,2.0,3,0.0,1,4.0,0.0,0.0,56.0,0.0,0.0,,1,2,0,1,1,3,0.0,0.0,0,1.0,0.0,DF,22.0,1.de Bayern Munich,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
66,Josip Šutalo,0,0,,,62.0,66.0,93.9,0.0,0.0,0,1.0,0,0.0,5.0,0.0,73.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,3.0,DF,22.0,1.hr Dinamo Zagreb,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
67,Ante Budimir,1,0,0.0,,2.0,5.0,40.0,1.0,0.0,1,0.0,0,1.0,1.0,0.0,12.0,0.0,0.0,,4,2,0,0,0,1,0.0,0.0,0,2.0,4.0,FW,30.0,1.es Osasuna,2,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
68,Kristijan Jakić,0,0,,,0.0,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,25.0,1.de Eint Frankfurt,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
69,Sofyan Amrabat,1,0,0.0,,269.0,322.0,83.5,16.0,9.0,10,2.0,6,22.0,10.0,0.0,382.0,0.0,5.0,0.0,14,6,1,2,6,10,0.0,0.0,0,2.0,3.0,MF,25.0,1.it Fiorentina,7,7,660.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
70,Hakim Ziyech,10,2,0.1,0.5,211.0,306.0,69.0,10.0,4.0,7,10.0,10,20.0,4.0,1.0,391.0,12.0,29.0,41.4,12,7,2,30,10,7,0.0,0.0,0,3.0,6.0,FW,29.0,1.eng Chelsea,7,7,635.0,7.1,1.0,0.14,1.0,0.14,1.0,0.14,0.0,0.0,0.0,Morocco
71,Achraf Hakimi,4,1,0.0,0.0,312.0,382.0,81.7,26.0,17.0,17,7.0,9,35.0,12.0,0.0,482.0,2.0,15.0,13.3,6,13,0,12,9,17,0.0,0.0,0,5.0,8.0,DF,23.0,1.fr Paris S-G,7,7,631.0,7.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,Morocco
72,Youssef En-Nesyri,9,3,0.22,0.67,50.0,81.0,61.7,3.0,0.0,2,5.0,1,4.0,11.0,0.0,129.0,5.0,8.0,62.5,2,4,4,0,1,2,0.0,0.0,0,21.0,14.0,FW,25.0,1.es Sevilla,7,7,542.0,6.0,2.0,0.33,0.0,0.0,2.0,0.33,0.0,0.0,0.0,Morocco
